date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:23	47920/47920	---M--	200	added ('OK')	image/jpeg	etag:%22633e99f1-bb30%22	https://www.bakecaincontrii.com/static/assets/couples_repr.3eb66f491b6f33c2ebe2.jpg	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/couples_repr.3eb66f491b6f33c2ebe2.jpg	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:24	64236/64236	---M--	200	added ('OK')	image/jpeg	etag:%22633e99f1-faec%22	https://www.bakecaincontrii.com/static/assets/seekmeetings_repr.e65262cd2ef576198cf9.jpg	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/seekmeetings_repr.e65262cd2ef576198cf9.jpg	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:25	46621/46621	---M--	200	added ('OK')	image/jpeg	etag:%22633e99f1-b61d%22	https://www.bakecaincontrii.com/static/assets/menseekmen_repr.f8c937347437da0620d8.jpg	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/menseekmen_repr.f8c937347437da0620d8.jpg	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:27	177955/177955	---M--	200	added ('OK')	image/png	etag:%22633e99f1-2b723%22	https://www.bakecaincontrii.com/static/assets/img_productpage.cb1a48018e0722eade69.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_productpage.cb1a48018e0722eade69.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:28	49035/49035	---M--	200	added ('OK')	image/png	etag:%22633e99f1-bf8b%22	https://www.bakecaincontrii.com/static/assets/top_prod_page.50c586d016c88591c316.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/top_prod_page.50c586d016c88591c316.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:28	63476/63476	---M--	200	added ('OK')	image/png	etag:%22633e99f1-f7f4%22	https://www.bakecaincontrii.com/static/assets/premium_prod_page.2aa34ac746fabf5fb8e4.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/premium_prod_page.2aa34ac746fabf5fb8e4.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:32	684028/684028	---M--	200	added ('OK')	image/gif	etag:%22633e99f1-a6ffc%22	https://www.bakecaincontrii.com/static/assets/img_Supertop_ES.886b79e646f82e8dbd4a.gif	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_Supertop_ES.886b79e646f82e8dbd4a.gif	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:32	748102/748102	---M--	200	added ('OK')	image/gif	etag:%22633e99f1-b6a46%22	https://www.bakecaincontrii.com/static/assets/img_Supertop_IT.41e9b9690280610f4dcb.gif	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_Supertop_IT.41e9b9690280610f4dcb.gif	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:32	688173/688173	---M--	200	added ('OK')	image/gif	etag:%22633e99f1-a802d%22	https://www.bakecaincontrii.com/static/assets/img_Supertop_PT.53f8bf1c4da4f4c6f1a6.gif	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_Supertop_PT.53f8bf1c4da4f4c6f1a6.gif	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:37	687208/687208	---M--	200	added ('OK')	image/gif	etag:%22633e99f1-a7c68%22	https://www.bakecaincontrii.com/static/assets/img_Supertop_EN.08338732c7c743dc613f.gif	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_Supertop_EN.08338732c7c743dc613f.gif	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
